HASH DOUBLE,REVERSE,80000,SEARCH,0.005
HASH DOUBLE,REVERSE,80000,DELETE,0.018
AVL,SORTED,100000,INSERT,0.232
AVL,SORTED,100000,SEARCH,0.047
AVL,SORTED,100000,DELETE,0.181
SPLAY,SORTED,100000,INSERT,0.014
SPLAY,SORTED,100000,SEARCH,0.015
SPLAY,SORTED,100000,DELETE,0.036
HASH CHAIN,SORTED,100000,INSERT,0.024
HASH CHAIN,SORTED,100000,SEARCH,0.004
HASH CHAIN,SORTED,100000,DELETE,0.022
HASH DOUBLE,SORTED,100000,INSERT,0.022
HASH DOUBLE,SORTED,100000,SEARCH,0.006
HASH DOUBLE,SORTED,100000,DELETE,0.016
AVL,RANDOM,100000,INSERT,0.332
AVL,RANDOM,100000,SEARCH,0.109
AVL,RANDOM,100000,DELETE,0.344
SPLAY,RANDOM,100000,INSERT,0.038
SPLAY,RANDOM,100000,SEARCH,0.018
SPLAY,RANDOM,100000,DELETE,0.020
HASH CHAIN,RANDOM,100000,INSERT,0.037
HASH CHAIN,RANDOM,100000,SEARCH,0.004
HASH CHAIN,RANDOM,100000,DELETE,0.030
HASH DOUBLE,RANDOM,100000,INSERT,0.033
HASH DOUBLE,RANDOM,100000,SEARCH,0.006
HASH DOUBLE,RANDOM,100000,DELETE,0.023
AVL,REVERSE,100000,INSERT,0.269
AVL,REVERSE,100000,SEARCH,0.046
AVL,REVERSE,100000,DELETE,0.194
SPLAY,REVERSE,100000,INSERT,0.015
SPLAY,REVERSE,100000,SEARCH,0.012
SPLAY,REVERSE,100000,DELETE,0.041
HASH CHAIN,REVERSE,100000,INSERT,0.022
HASH CHAIN,REVERSE,100000,SEARCH,0.004
HASH CHAIN,REVERSE,100000,DELETE,0.022
HASH DOUBLE,REVERSE,100000,INSERT,0.021
HASH DOUBLE,REVERSE,100000,SEARCH,0.005
HASH DOUBLE,REVERSE,100000,DELETE,0.016
